file,rows,columns
agland.dta,756,11
asset.dta,46910,7
consagg.dta,7152,31
crops.dta,10074,12
fishing.dta,364,10
food.dta,152999,15
hh.dta,7212,173
hhbus.dta,1109,165
hhm.dta,47623,225
land.dta,2342,101
livestock_byproducts.dta,1330,13
livestock_expenditures.dta,3382,7
livestock_own.dta,7020,21
nfood_12months.dta,25434,3
nfood_30days.dta,49773,5
nfood_6months.dta,167531,3
nfood_7days.dta,11956,3
shock.dta,11466,33
